,0
505,7
506,6
507,1
508,1
509,3
510,1
511,7
512,5
513,5
514,5
515,2
516,5
517,8
518,7
519,0
520,9
521,7
522,7
523,5
524,0
525,9
526,0
527,0
528,8
529,9
530,2
531,4
532,8
533,1
534,6
535,1
536,6
537,5
538,1
539,8
540,3
541,4
542,0
543,5
544,5
545,8
546,3
547,6
548,2
549,3
550,9
551,2
552,1
553,1
554,5
555,2
556,1
557,3
558,2
559,8
560,7
561,3
562,7
563,2
564,4
565,6
566,9
567,7
568,2
569,4
570,2
571,8
572,1
573,1
574,3
575,8
576,4
577,0
578,6
579,5
580,9
581,3
582,0
583,9
584,2
585,4
586,7
587,1
588,2
589,9
590,4
591,2
592,6
593,1
594,8
595,9
596,0
597,6
598,6
599,7
600,9
601,9
602,8
603,0
604,1
605,4
606,4
607,6
608,7
609,1
610,5
611,7
612,0
613,3
614,5
615,8
616,4
617,7
618,1
619,2
620,5
621,9
622,5
623,6
624,7
625,5
626,9
627,8
628,8
629,3
630,6
631,9
632,7
633,0
634,7
635,5
636,7
637,1
638,1
639,0
640,7
641,9
642,2
643,3
644,7
645,3
646,2
647,4
648,1
649,6
650,2
651,7
652,5
653,5
654,7
655,4
656,0
657,2
658,6
659,3
660,6
661,4
662,0
663,4
664,2
665,6
666,0
667,0
668,0
669,0
670,3
671,1
672,6
673,2
674,2
675,3
676,1
677,4
678,1
679,5
680,4
681,6
682,4
683,7
684,2
685,8
686,7
687,9
688,2
689,0
690,5
691,1
692,4
693,2
694,8
695,3
696,2
697,4
698,1
699,5
700,4
701,6
702,0
703,7
704,9
705,8
706,4
707,9
708,8
709,0
710,1
711,1
712,0
713,2
714,2
715,3
716,2
717,4
718,4
719,5
720,8
721,6
722,5
723,7
724,7
725,8
726,8
727,9
728,7
729,4
730,7
731,3
732,2
733,0
734,8
735,6
736,8
737,6
738,1
739,6
740,8
741,9
742,4
743,0
744,9
745,0
746,4
747,1
748,5
749,4
750,7
751,5
752,3
753,7
754,4
755,9
756,8
757,5
758,8
759,6
760,3
761,8
762,6
763,9
764,9
765,1
766,8
767,3
768,5
769,8
770,6
771,5
772,9
773,7
774,2
775,5
776,0
777,8
778,5
779,1
780,1
781,0
782,9
783,1
784,8
785,6
786,7
787,0
788,9
789,3
790,0
791,8
792,8
793,9
794,6
795,7
796,8
797,4
798,7
799,5
800,9
801,2
802,6
803,7
804,4
805,5
806,9
807,2
808,3
809,1
810,6
811,3
812,9
813,2
814,2
815,5
816,6
817,8
818,0
819,7
820,7
821,1
822,9
823,8
824,7
825,0
826,9
827,9
828,4
829,6
830,2
831,8
832,5
833,1
834,4
835,1
836,5
837,5
838,1
839,7
840,3
841,6
842,4
843,3
844,2
845,5
846,6
847,4
848,4
849,0
850,4
851,4
852,6
853,7
854,2
855,4
856,3
857,3
858,8
859,0
860,0
861,3
862,2
863,2
864,9
865,8
866,2
867,3
868,7
869,0
870,1
871,1
872,0
873,2
874,3
875,3
876,8
877,4
878,3
879,5
880,7
881,6
882,4
883,7
884,7
885,8
886,5
887,9
888,7
889,0
890,3
891,1
892,6
893,2
894,4
895,3
896,4
897,4
898,7
899,5
900,9
901,6
902,9
903,0
904,7
905,1
906,4
907,2
908,7
909,3
910,6
911,7
912,5
913,8
914,4
915,5
916,5
917,2
918,7
919,1
920,1
921,5
922,6
923,8
924,5
925,8
926,4
927,0
928,7
929,9
930,9
931,2
932,9
933,7
934,7
935,8
936,7
937,4
938,2
939,6
940,9
941,1
942,7
943,0
944,6
945,4
946,2
947,5
948,7
949,0
950,7
951,1
952,0
953,3
954,7
955,6
956,5
957,0
958,6
959,1
960,5
961,1
962,7
963,8
964,5
965,0
966,3
967,4
968,7
969,7
970,5
971,7
972,8
973,6
974,9
975,3
976,8
977,6
978,1
979,0
980,9
981,7
982,1
983,3
984,0
985,5
986,6
987,4
988,4
989,2
990,4
991,4
992,3
993,1
994,7
995,7
996,6
997,0
998,3
999,6
1000,0
1001,7
1002,1
1003,1
1004,4
1005,9
1006,4
1007,3
1008,4
1009,8
1010,2
1011,2
1012,1
1013,8
1014,7
1015,0
1016,8
1017,1
1018,0
1019,7
1020,6
1021,3
1022,7
1023,7
1024,5
1025,8
1026,8
1027,9
1028,0
1029,0
1030,4
1031,1
1032,5
1033,2
1034,2
1035,3
1036,9
1037,4
1038,9
1039,5
1040,0
1041,6
1042,7
1043,7
1044,1
1045,8
1046,0
1047,2
1048,2
1049,0
1050,4
1051,1
1052,1
1053,2
1054,7
1055,3
1056,9
1057,7
1058,2
1059,8
1060,1
1061,9
1062,5
1063,8
1064,8
1065,1
1066,9
1067,8
1068,3
1069,1
1070,6
1071,5
1072,7
1073,4
1074,2
1075,7
1076,0
1077,3
1078,0
1079,4
1080,1
1081,1
1082,7
1083,9
1084,1
1085,1
1086,8
1087,5
1088,7
1089,5
1090,0
1091,6
1092,6
1093,0
1094,4
1095,1
1096,2
1097,3
1098,4
1099,4
1100,6
1101,8
1102,0
1103,9
1104,5
1105,8
1106,7
1107,0
1108,3
1109,5
1110,4
1111,5
1112,9
1113,6
1114,7
1115,1
1116,9
1117,6
1118,1
1119,3
1120,8
1121,3
1122,9
1123,1
1124,2
1125,7
1126,7
1127,7
1128,0
1129,2
1130,3
1131,1
1132,1
1133,4
1134,2
1135,5
1136,6
1137,0
1138,9
1139,6
1140,2
1141,8
1142,9
1143,2
1144,3
1145,3
1146,6
1147,9
1148,1
1149,4
1150,3
1151,3
1152,0
1153,7
1154,7
1155,1
1156,7
1157,7
1158,3
1159,6
1160,4
1161,9
1162,5
1163,4
1164,4
1165,2
1166,7
1167,9
1168,0
1169,9
1170,8
1171,4
1172,4
1173,9
1174,1
1175,2
1176,4
1177,9
1178,3
1179,0
1180,4
1181,1
1182,6
1183,2
1184,6
1185,3
1186,7
1187,4
1188,2
1189,6
1190,6
1191,7
1192,1
1193,8
1194,9
1195,0
1196,4
1197,1
1198,4
1199,2
1200,1
1201,3
1202,6
1203,4
1204,6
1205,7
1206,5
1207,8
1208,7
1209,0
1210,5
1211,1
1212,4
1213,2
1214,8
1215,4
1216,7
1217,7
1218,3
1219,8
1220,4
1221,9
1222,5
1223,8
1224,6
1225,7
1226,3
1227,4
1228,6
1229,7
1230,1
1231,7
1232,4
1233,3
1234,3
1235,9
1236,8
1237,8
1238,1
1239,8
1240,6
1241,3
1242,1
1243,1
1244,3
1245,5
1246,2
1247,8
1248,4
1249,2
1250,9
1251,7
1252,1
1253,4
1254,8
1255,2
1256,9
1257,6
1258,4
1259,1
1260,3
1261,4
1262,2
1263,5
1264,2
1265,5
1266,6
1267,8
1268,0
1269,6
1270,2
1271,4
1272,9
1273,4
1274,9
1275,4
1276,5
1277,1
1278,5
1279,8
1280,4
1281,7
1282,9
1283,5
1284,9
1285,5
1286,9
1287,1
1288,5
1289,8
1290,3
1291,9
1292,9
1293,1
1294,8
1295,3
1296,8
1297,6
1298,5
1299,2
1300,7
1301,2
1302,7
1303,6
1304,0
1305,9
1306,7
1307,9
1308,4
1309,6
1310,0
1311,5
1312,3
1313,5
1314,7
1315,3
1316,9
1317,3
1318,6
1319,8
1320,3
1321,1
1322,7
1323,6
1324,5
1325,5
1326,7
1327,6
1328,5
1329,8
1330,2
1331,1
1332,7
1333,9
1334,2
1335,7
1336,3
1337,6
1338,7
1339,8
1340,5
1341,3
1342,7
1343,7
1344,8
1345,4
1346,0
1347,7
1348,3
1349,0
1350,6
1351,3
1352,9
1353,7
1354,1
1355,9
1356,5
1357,3
1358,6
1359,0
1360,9
1361,2
1362,8
1363,0
1364,9
1365,1
1366,6
1367,0
1368,0
1369,1
1370,9
1371,0
1372,0
1373,4
1374,2
1375,1
1376,7
1377,0
1378,3
1379,4
1380,4
1381,7
1382,5
1383,9
1384,8
1385,2
1386,0
1387,0
1388,8
1389,6
1390,2
1391,2
1392,7
1393,6
1394,1
1395,2
1396,9
1397,2
1398,6
1399,9
1400,7
1401,9
1402,5
1403,0
1404,8
1405,1
1406,5
1407,2
1408,4
1409,3
1410,9
1411,4
1412,7
1413,5
1414,6
1415,6
1416,7
1417,7
1418,6
1419,8
1420,5
1421,9
1422,7
1423,0
1424,6
1425,1
1426,9
1427,2
1428,3
1429,3
1430,5
1431,4
1432,3
1433,5
1434,8
1435,6
1436,3
1437,7
1438,2
1439,8
1440,4
1441,9
1442,5
1443,0
1444,2
1445,1
1446,4
1447,2
1448,4
1449,3
1450,1
1451,7
1452,1
1453,8
1454,0
1455,9
1456,6
1457,8
1458,1
1459,9
1460,4
1461,4
1462,9
1463,1
1464,8
1465,9
1466,6
1467,5
1468,5
1469,3
1470,3
1471,0
1472,1
1473,4
1474,3
1475,8
1476,3
1477,4
1478,2
1479,0
1480,7
1481,5
1482,5
1483,1
1484,8
1485,5
1486,3
1487,4
1488,6
1489,0
1490,5
1491,7
1492,2
1493,6
1494,6
1495,0
1496,1
1497,1
1498,4
1499,7
1500,9
1501,0
1502,0
1503,6
1504,6
1505,8
1506,6
1507,9
1508,4
1509,5
1510,2
1511,4
1512,0
1513,7
1514,5
1515,6
1516,5
1517,0
1518,9
1519,8
1520,6
1521,1
1522,9
1523,7
1524,5
1525,7
1526,5
1527,1
1528,1
1529,3
1530,0
1531,2
1532,0
1533,3
1534,8
1535,1
1536,6
1537,4
1538,6
1539,2
1540,6
1541,4
1542,8
1543,8
1544,1
1545,4
1546,4
1547,7
1548,1
1549,2
1550,2
1551,3
1552,9
1553,6
1554,4
1555,9
1556,5
1557,6
1558,2
1559,3
1560,9
1561,2
1562,6
1563,2
1564,7
1565,4
1566,3
1567,6
1568,4
1569,9
1570,7
1571,0
1572,2
1573,2
1574,9
1575,5
1576,4
1577,5
1578,0
1579,1
1580,4
1581,3
1582,6
1583,3
1584,2
1585,9
1586,7
1587,5
1588,3
1589,7
1590,0
1591,9
1592,5
1593,8
1594,3
1595,2
1596,0
1597,1
1598,8
1599,3
1600,0
1601,1
1602,2
1603,3
1604,4
1605,0
1606,0
1607,1
1608,7
1609,2
1610,9
1611,3
1612,9
1613,4
1614,2
1615,5
1616,8
1617,6
1618,7
1619,7
1620,9
1621,8
1622,9
1623,9
1624,2
1625,0
1626,0
1627,1
1628,4
1629,2
1630,4
1631,3
1632,9
1633,4
1634,3
1635,5
1636,7
1637,6
1638,5
1639,7
1640,1
1641,8
1642,6
1643,9
1644,3
1645,0
1646,4
1647,1
1648,2
1649,2
1650,5
1651,3
1652,7
1653,4
1654,1
1655,7
1656,7
1657,8
1658,1
1659,9
1660,2
1661,3
1662,2
1663,4
1664,0
1665,1
1666,8
1667,4
1668,3
1669,6
1670,5
1671,6
1672,4
1673,7
1674,9
1675,3
1676,1
1677,3
1678,0
1679,2
1680,1
1681,1
1682,0
1683,9
1684,9
1685,4
1686,6
1687,7
1688,6
1689,3
1690,5
1691,5
1692,4
1693,4
1694,6
1695,9
1696,1
1697,1
1698,3
1699,1
1700,1
1701,0
1702,5
1703,1
1704,4
1705,4
1706,6
1707,6
1708,6
1709,0
1710,1
1711,2
1712,0
1713,8
1714,2
1715,2
1716,1
1717,1
1718,3
1719,7
1720,9
1721,5
1722,3
1723,0
1724,2
1725,0
1726,6
1727,2
1728,9
1729,0
1730,7
1731,6
1732,9
1733,9
1734,1
1735,2
1736,9
1737,3
1738,4
1739,7
1740,9
1741,6
1742,0
1743,9
1744,4
1745,8
1746,7
1747,7
1748,9
1749,8
1750,6
1751,9
1752,5
1753,2
1754,2
1755,2
1756,3
1757,9
1758,8
1759,8
1760,8
1761,6
1762,4
1763,4
1764,4
1765,4
1766,2
1767,4
1768,6
1769,0
1770,7
1771,0
1772,7
1773,8
1774,2
1775,0
1776,8
1777,8
1778,3
1779,6
1780,8
1781,6
1782,6
1783,8
1784,6
1785,5
1786,1
1787,1
1788,8
1789,7
1790,8
1791,3
1792,6
1793,8
1794,9
1795,5
1796,0
1797,0
1798,0
1799,3
1800,2
1801,6
1802,6
1803,7
1804,8
1805,3
1806,5
1807,1
1808,4
1809,3
1810,5
1811,9
1812,4
1813,5
1814,4
1815,1
1816,1
1817,5
1818,4
1819,0
1820,9
1821,7
1822,1
1823,2
1824,5
1825,7
1826,9
1827,4
1828,0
1829,3
1830,6
1831,1
1832,7
1833,7
1834,5
1835,6
1836,3
1837,0
1838,1
1839,1
1840,4
1841,2
1842,4
1843,3
1844,6
1845,4
1846,7
1847,5
1848,7
1849,6
1850,9
1851,7
1852,2
1853,8
1854,4
1855,9
1856,8
1857,0
1858,7
1859,1
1860,1
1861,2
1862,3
1863,3
1864,5
1865,4
1866,6
1867,5
1868,0
1869,6
1870,3
1871,7
1872,3
1873,8
1874,2
1875,9
1876,0
1877,0
1878,9
1879,1
1880,2
1881,2
1882,9
1883,3
1884,9
1885,4
1886,6
1887,5
1888,2
1889,6
1890,6
1891,7
1892,6
1893,8
1894,2
1895,9
1896,2
1897,0
1898,6
1899,7
1900,2
1901,8
1902,6
1903,9
1904,0
1905,9
1906,6
1907,0
1908,3
1909,1
1910,1
1911,4
1912,9
1913,5
1914,8
1915,1
1916,0
1917,6
1918,6
1919,7
1920,2
1921,3
1922,4
1923,2
1924,3
1925,9
1926,0
1927,0
1928,4
1929,5
1930,0
1931,6
1932,4
1933,7
1934,4
1935,3
1936,1
1937,9
1938,3
1939,9
1940,9
1941,3
1942,1
1943,8
1944,7
1945,1
1946,7
1947,2
1948,8
1949,9
1950,9
1951,6
1952,2
1953,7
1954,2
1955,5
1956,0
1957,6
1958,7
1959,3
1960,9
1961,5
1962,9
1963,0
1964,8
1965,5
1966,8
1967,4
1968,9
1969,0
1970,5
1971,3
1972,2
1973,4
1974,8
1975,7
1976,4
1977,1
1978,5
1979,4
1980,6
1981,3
1982,7
1983,7
1984,9
1985,6
1986,6
1987,2
1988,2
1989,1
1990,6
1991,5
1992,4
1993,5
1994,3
1995,0
1996,5
1997,5
1998,2
1999,0
2000,5
2001,8
2002,8
2003,4
2004,2
2005,6
2006,9
2007,7
2008,1
2009,0
2010,2
2011,3
2012,1
2013,8
2014,7
2015,1
2016,8
2017,2
2018,7
2019,2
2020,6
2021,3
2022,2
2023,3
2024,7
2025,6
2026,8
2027,7
2028,5
2029,3
2030,8
2031,4
2032,4
2033,9
2034,4
2035,6
2036,4
2037,5
2038,5
2039,1
2040,1
2041,9
2042,3
2043,8
2044,6
2045,1
2046,4
2047,1
2048,7
2049,5
2050,4
2051,0
2052,4
2053,2
2054,7
2055,7
2056,5
2057,8
2058,0
2059,6
2060,9
2061,6
2062,6
2063,8
2064,7
2065,2
2066,0
2067,8
2068,8
2069,4
2070,8
2071,4
2072,4
2073,2
2074,3
2075,2
2076,3
2077,8
2078,2
2079,0
2080,5
2081,0
2082,0
2083,1
2084,0
2085,2
2086,1
2087,3
2088,3
2089,4
2090,7
2091,5
2092,3
2093,6
2094,1
2095,7
2096,6
2097,8
2098,3
2099,9
2100,0
2101,0
2102,7
2103,1
2104,2
2105,2
2106,4
2107,3
2108,7
2109,4
2110,1
2111,5
2112,0
2113,6
2114,3
2115,7
2116,9
2117,8
2118,7
2119,9
2120,5
2121,0
2122,1
2123,1
2124,8
2125,2
2126,6
2127,3
2128,3
2129,4
2130,3
2131,5
2132,3
2133,7
2134,1
2135,8
2136,1
2137,9
2138,6
2139,8
2140,9
2141,9
2142,7
2143,5
2144,0
2145,7
2146,3
2147,0
2148,6
2149,3
2150,8
2151,1
2152,6
2153,6
2154,1
2155,8
2156,6
2157,4
2158,6
2159,1
2160,0
2161,7
2162,1
2163,6
2164,4
2165,5
2166,1
2167,6
2168,7
2169,4
2170,8
2171,2
2172,5
2173,7
2174,3
2175,8
2176,4
2177,1
2178,6
2179,3
2180,3
2181,4
2182,5
2183,3
2184,2
2185,4
2186,5
2187,7
2188,1
2189,2
2190,4
2191,0
2192,0
2193,5
2194,8
2195,0
2196,6
2197,1
2198,1
2199,9
2200,3
2201,2
2202,1
2203,3
2204,4
2205,2
2206,4
2207,3
2208,4
2209,5
2210,8
2211,5
2212,6
2213,7
2214,6
2215,8
2216,9
2217,4
2218,0
2219,9
2220,4
2221,9
2222,4
2223,7
2224,4
2225,1
2226,6
2227,1
2228,3
2229,7
2230,3
2231,8
2232,3
2233,3
2234,2
2235,4
2236,4
2237,8
2238,7
2239,6
2240,4
2241,3
2242,6
2243,8
2244,7
2245,0
2246,7
2247,9
2248,5
2249,6
2250,5
2251,2
2252,3
2253,0
2254,4
2255,1
2256,4
2257,0
2258,5
2259,6
2260,1
2261,2
2262,6
2263,3
2264,4
2265,8
2266,5
2267,9
2268,5
2269,0
2270,2
2271,7
2272,5
2273,2
2274,9
2275,3
2276,4
2277,4
2278,0
2279,5
2280,2
2281,5
2282,5
2283,2
2284,9
2285,8
2286,3
2287,5
2288,2
2289,4
2290,4
2291,6
2292,7
2293,6
2294,4
2295,6
2296,6
2297,7
2298,0
2299,9
2300,6
2301,1
2302,8
2303,8
2304,5
2305,2
2306,1
2307,1
2308,5
2309,2
2310,0
2311,6
2312,9
2313,5
2314,2
2315,3
2316,1
2317,4
2318,1
2319,7
2320,6
2321,9
2322,2
2323,4
2324,6
2325,0
2326,1
2327,0
2328,5
2329,5
2330,5
2331,9
2332,2
2333,0
2334,4
2335,1
2336,1
2337,2
2338,4
2339,3
2340,0
2341,4
2342,2
2343,5
2344,7
2345,6
2346,2
2347,7
2348,7
2349,8
2350,3
2351,9
2352,0
2353,0
2354,2
2355,1
2356,1
2357,2
2358,8
2359,3
2360,4
2361,4
2362,1
2363,5
2364,9
2365,6
2366,1
2367,7
2368,5
2369,8
2370,9
2371,9
2372,6
2373,0
2374,1
2375,1
2376,7
2377,2
2378,8
2379,3
2380,7
2381,7
2382,8
2383,8
2384,8
2385,9
2386,7
2387,6
2388,8
2389,2
2390,4
2391,7
2392,4
2393,1
2394,8
2395,5
2396,0
2397,6
2398,9
2399,2
2400,8
2401,5
2402,2
2403,0
2404,0
2405,5
2406,4
2407,4
2408,3
2409,2
2410,1
2411,0
2412,5
2413,8
2414,5
2415,1
2416,4
2417,7
2418,2
2419,1
2420,4
2421,8
2422,6
2423,3
2424,4
2425,8
2426,1
2427,7
2428,5
2429,1
2430,3
2431,7
2432,1
2433,7
2434,9
2435,0
2436,0
2437,1
2438,9
2439,4
2440,0
2441,4
2442,8
2443,4
2444,8
2445,5
2446,1
2447,7
2448,1
2449,4
2450,2
2451,4
2452,4
2453,9
2454,2
2455,7
2456,3
2457,2
2458,4
2459,6
2460,9
2461,5
2462,1
2463,3
2464,2
2465,9
2466,4
2467,4
2468,3
2469,3
2470,6
2471,9
2472,2
2473,0
2474,6
2475,8
2476,8
2477,7
2478,5
2479,6
2480,6
2481,3
2482,8
2483,0
2484,4
2485,4
2486,6
2487,6
2488,7
2489,3
2490,4
2491,7
2492,7
2493,0
2494,6
2495,1
2496,6
2497,1
2498,6
2499,2
2500,0
2501,9
2502,7
2503,3
2504,6
2505,1
2506,3
2507,8
2508,2
2509,9
2510,2
2511,8
2512,7
2513,2
2514,9
2515,5
2516,6
2517,2
2518,2
2519,6
2520,4
2521,9
2522,7
2523,6
2524,3
2525,0
2526,0
2527,5
2528,0
2529,3
2530,1
2531,3
2532,0
2533,6
2534,2
2535,3
2536,3
2537,5
2538,0
2539,0
2540,7
2541,3
2542,4
2543,7
2544,5
2545,6
2546,4
2547,1
2548,4
2549,5
2550,2
2551,5
2552,1
2553,9
2554,5
2555,8
2556,6
2557,0
2558,7
2559,9
2560,4
2561,0
2562,9
2563,1
2564,3
2565,2
2566,5
2567,3
2568,3
2569,4
2570,6
2571,5
2572,1
2573,6
2574,7
2575,7
2576,7
2577,8
2578,4
2579,9
2580,3
2581,0
2582,0
2583,1
2584,0
2585,2
2586,0
2587,3
2588,6
2589,4
2590,6
2591,7
2592,5
2593,8
2594,1
2595,9
2596,4
2597,0
2598,8
2599,1
2600,9
2601,2
2602,6
2603,3
2604,1
2605,5
2606,0
2607,6
2608,4
2609,7
2610,8
2611,8
2612,7
2613,9
2614,6
2615,0
2616,1
2617,0
2618,7
2619,1
2620,5
2621,0
2622,5
2623,1
2624,0
2625,2
2626,2
2627,3
2628,8
2629,0
2630,1
2631,6
2632,3
2633,9
2634,7
2635,6
2636,8
2637,6
2638,6
2639,5
2640,9
2641,2
2642,0
2643,9
2644,6
2645,1
2646,5
2647,4
2648,2
2649,9
2650,7
2651,5
2652,3
2653,7
2654,1
2655,5
2656,6
2657,6
2658,7
2659,7
2660,3
2661,3
2662,6
2663,1
2664,2
2665,4
2666,7
2667,1
2668,8
2669,3
2670,2
2671,3
2672,8
2673,7
2674,5
2675,3
2676,7
2677,9
2678,8
2679,8
2680,6
2681,8
2682,8
2683,8
2684,2
2685,8
2686,4
2687,8
2688,1
2689,4
2690,5
2691,7
2692,1
2693,2
2694,2
2695,1
2696,9
2697,9
2698,5
2699,8
2700,2
2701,7
2702,9
2703,9
2704,7
2705,3
2706,7
2707,3
2708,1
2709,0
2710,6
2711,7
2712,9
2713,5
2714,2
2715,4
2716,1
2717,1
2718,0
2719,1
2720,3
2721,2
2722,9
2723,6
2724,4
2725,1
2726,3
2727,5
2728,9
2729,0
2730,1
2731,1
2732,4
2733,2
2734,3
2735,3
2736,0
2737,4
2738,2
2739,5
2740,3
2741,6
2742,4
2743,7
2744,5
2745,0
2746,0
2747,1
2748,2
2749,2
2750,7
2751,3
2752,7
2753,4
2754,7
2755,5
2756,6
2757,6
2758,5
2759,7
2760,3
2761,8
2762,1
2763,9
2764,9
2765,0
2766,7
2767,1
2768,8
2769,2
2770,0
2771,3
2772,4
2773,4
2774,3
2775,5
2776,1
2777,6
2778,7
2779,9
2780,5
2781,8
2782,0
2783,2
2784,1
2785,6
2786,3
2787,9
2788,3
2789,6
2790,2
2791,1
2792,2
2793,9
2794,1
2795,9
2796,3
2797,9
2798,9
2799,4
2800,4
2801,4
2802,2
2803,3
2804,9
2805,8
2806,0
2807,1
2808,4
2809,4
2810,8
2811,1
2812,2
2813,2
2814,7
2815,9
2816,3
2817,0
2818,3
2819,4
2820,3
2821,9
2822,6
2823,1
2824,2
2825,7
2826,0
2827,4
2828,6
2829,4
2830,1
2831,1
2832,4
2833,8
2834,3
2835,7
2836,6
2837,6
2838,2
2839,0
2840,2
2841,8
2842,8
2843,1
2844,7
2845,8
2846,2
2847,2
2848,7
2849,6
2850,6
2851,2
2852,7
2853,1
2854,0
2855,2
2856,4
2857,5
2858,1
2859,4
2860,9
2861,5
2862,6
2863,6
2864,0
2865,7
2866,2
2867,7
2868,5
2869,5
2870,1
2871,3
2872,1
2873,0
2874,4
2875,2
2876,1
2877,2
2878,1
2879,2
2880,6
2881,7
2882,0
2883,3
2884,6
2885,5
2886,3
2887,2
2888,4
2889,1
2890,0
2891,4
2892,2
2893,4
2894,1
2895,3
2896,4
2897,0
2898,6
2899,0
2900,5
2901,8
2902,4
2903,7
2904,0
2905,3
2906,1
2907,1
2908,2
2909,7
2910,6
2911,9
2912,5
2913,6
2914,0
2915,3
2916,5
2917,3
2918,1
2919,0
2920,1
2921,5
2922,4
2923,6
2924,9
2925,6
2926,3
2927,8
2928,5
2929,7
2930,6
2931,3
2932,1
2933,5
2934,9
2935,0
2936,2
2937,1
2938,1
2939,2
2940,8
2941,3
2942,8
2943,4
2944,0
2945,5
2946,5
2947,6
2948,5
2949,7
2950,7
2951,8
2952,0
2953,9
2954,6
2955,0
2956,9
2957,1
2958,8
2959,2
2960,3
2961,3
2962,4
2963,4
2964,3
2965,5
2966,5
2967,6
2968,5
2969,7
2970,1
2971,8
2972,8
2973,9
2974,0
2975,0
2976,2
2977,1
2978,6
2979,2
2980,7
2981,3
2982,7
2983,4
2984,7
2985,7
2986,7
2987,8
2988,1
2989,9
2990,4
2991,8
2992,6
2993,5
2994,1
2995,7
2996,0
2997,9
